City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,bikaner,28.0167,73.3,295.58,44,100,12.44,IN,1709329442
142,bereznik,62.8551,42.7072,268.77,96,100,2.04,RU,1709329442
143,broome,42.2506,-75.833,282.36,41,0,4.12,US,1709329443
144,inari,68.906,27.0288,275.26,97,100,5.69,FI,1709329453
145,pohang,36.0322,129.365,268.6,39,0,6.42,KR,1709329454
146,atafu village,-8.5421,-172.5159,302.49,78,21,8.13,TK,1709329455
147,thompson,55.7435,-97.8558,257.24,78,100,1.54,CA,1709329429
148,fort st. john,56.2499,-120.8529,251.09,64,75,4.12,CA,1709328886
149,papatowai,-46.5619,169.4708,292.77,61,22,0.98,NZ,1709329460
150,avarua,-21.2078,-159.775,302.18,65,20,5.14,CK,1709329461
151,alice springs,-23.7,133.8833,297.16,84,40,2.57,AU,1709329462
152,nemuro,43.3236,145.575,267.5,63,94,13.95,JP,1709329462
153,tura,25.5198,90.2201,288.96,40,0,1.0,IN,1709328944
154,touros,-5.1989,-35.4608,300.58,79,37,2.71,BR,1709329463
155,rio tuba,8.5061,117.4317,298.66,83,100,2.44,PH,1709329464
156,mugia,43.1041,-9.2179,284.77,83,100,11.14,ES,1709329464
157,banfora,10.6333,-4.7667,304.93,14,82,0.97,BF,1709329465
158,nova vicosa,-17.8919,-39.3719,300.31,83,49,4.12,BR,1709329465
159,santa cruz,-17.8,-63.1667,305.85,55,40,7.2,BO,1709329466
160,ma'rib,15.4591,45.3253,293.78,42,34,2.3,YE,1709329466
161,ancud,-41.8697,-73.8203,288.06,85,92,4.08,CL,1709329017
162,taguatinga,-12.3857,-46.5711,300.28,71,20,0.49,BR,1709329467
163,mount pearl,47.5166,-52.7813,265.35,83,100,10.8,CA,1709329432
164,copala,16.65,-98.9833,302.59,51,76,4.6,MX,1709329468
165,la carlota,10.4233,122.9208,296.35,80,100,3.45,PH,1709329469
166,nova sintra,14.8667,-24.7167,293.11,77,0,11.36,CV,1709329469
167,sandy point town,17.35,-62.8333,299.46,78,40,4.12,KN,1709329470
168,hermanus,-34.4187,19.2345,292.3,89,0,0.93,ZA,1709329430
169,fale old settlement,-9.3852,-171.2468,302.43,76,31,8.3,TK,1709329471
170,chichli,22.8333,78.8167,298.39,27,89,0.8,IN,1709329471
171,jamestown,42.097,-79.2353,284.92,53,92,6.48,US,1709328675
172,mount gambier,-37.8333,140.7667,288.41,70,61,3.48,AU,1709329472
173,port mathurin,-19.6833,63.4167,299.27,87,85,8.75,MU,1709328886
174,maxixe,-23.8597,35.3472,296.78,86,0,2.62,MZ,1709329473
175,dom pedro,-4.4833,-44.45,297.84,97,72,1.3,BR,1709329473
176,maraba,-5.3686,-49.1178,301.25,78,40,1.03,BR,1709329474
177,qaqortoq,60.7167,-46.0333,274.82,60,100,12.97,GL,1709328907
178,crane,31.3974,-102.3501,296.96,18,0,7.62,US,1709329475
179,port saint john's,-31.6229,29.5448,295.57,79,42,4.75,ZA,1709328934
180,east end,34.5507,-92.341,286.47,51,34,1.18,US,1709329042
181,isafjordur,66.0755,-23.124,264.18,72,10,0.71,IS,1709329476
182,bilibino,68.0546,166.4372,260.29,77,100,1.74,RU,1709329477
183,vorgashor,67.5833,63.95,267.73,94,100,7.56,RU,1709329477
184,ilulissat,69.2167,-51.1,283.16,53,75,9.26,GL,1709329478
185,bulawayo,-20.15,28.5833,288.73,56,1,3.05,ZW,1709328993
186,woodward,36.4337,-99.3904,291.72,47,0,4.63,US,1709329478
187,alofi,-19.0595,-169.9187,304.09,66,40,5.14,NU,1709328911
188,vilyuysk,63.7553,121.6247,237.04,100,100,1.34,RU,1709329028
189,tazovsky,67.4667,78.7,255.86,99,99,3.05,RU,1709329480
190,siem reap,13.5,104.0,297.8,59,100,1.97,KH,1709329480
191,el charco,2.4769,-78.1105,299.15,90,100,2.17,CO,1709329481
192,lyozna,55.0249,30.7956,275.34,82,100,3.88,BY,1709329481
193,coahuayana de hidalgo,18.7,-103.6583,302.73,49,87,3.03,MX,1709329482
194,lauderdale-by-the-sea,26.192,-80.0964,299.28,73,20,7.72,US,1709329482
195,remire-montjoly,4.9167,-52.2667,301.17,78,100,3.09,GF,1709329483
196,colonia,50.9333,6.95,282.57,69,0,6.17,DE,1709328678
197,wailua homesteads,22.0669,-159.378,297.39,75,75,6.69,US,1709328939
198,cill airne,52.05,-9.5167,276.47,84,43,5.89,IE,1709329484
199,kourou,5.1552,-52.6478,301.18,83,41,3.33,GF,1709329484
200,walvis bay,-22.9575,14.5053,293.68,73,0,2.64,NA,1709329485
201,praia da vitoria,38.7333,-27.0667,287.29,72,75,4.49,PT,1709329008
202,umm kaddadah,13.6017,26.6876,299.6,8,65,4.79,SD,1709329486
203,vila franca do campo,37.7167,-25.4333,287.38,80,67,2.83,PT,1709328781
204,longyearbyen,78.2186,15.6401,267.06,68,40,10.8,SJ,1709328902
205,nyurba,63.2842,118.3319,242.54,100,100,0.39,RU,1709329488
206,lugovoye,42.9094,72.7178,269.5,87,100,1.71,KZ,1709329488
207,isangel,-19.55,169.2667,300.21,89,75,3.09,VU,1709328913
208,cherry hill,39.9348,-75.0307,282.4,47,0,4.63,US,1709329253
209,selfoss,63.9331,-20.9971,264.29,74,2,4.57,IS,1709329489
210,khovd,48.0056,91.6419,258.25,73,0,0.65,MN,1709329490
211,las tablas,7.7667,-80.2833,304.36,99,71,9.12,PA,1709329490
212,port hedland,-20.3167,118.5667,302.18,84,100,2.57,AU,1709329491
213,asind,25.7333,74.3333,294.36,40,100,2.91,IN,1709329491
214,kavaratti,10.5669,72.642,300.89,70,32,1.7,IN,1709329063
215,cadale,2.7603,46.3222,300.3,80,4,6.74,SO,1709329492
216,matveyev kurgan,47.5645,38.8695,275.34,74,32,4.31,RU,1709329493
217,luau,-10.7073,22.2247,291.19,96,100,1.6,AO,1709329493
218,kamuli,0.9472,33.1197,292.87,90,97,1.11,UG,1709329494
219,grootfontein,-19.5667,18.1167,291.91,72,2,0.0,NA,1709329494
220,san julian,21.0167,-102.1667,298.79,12,82,6.61,MX,1709329049
221,mhamid,29.82,-5.72,291.65,15,100,3.58,MA,1709329495
222,san antonio de pale,-1.4014,5.6325,301.78,76,83,3.36,GQ,1709329495
223,aksuat,48.7167,83.7,253.58,83,3,1.14,KZ,1709329496
224,berbera,10.4396,45.0143,299.49,79,6,0.63,SO,1709329497
225,priladozhskiy,59.85,31.4833,270.76,97,48,2.51,RU,1709329497
226,barra dos coqueiros,-10.9089,-37.0386,302.16,84,20,6.17,BR,1709329498
227,porto murtinho,-21.6989,-57.8825,308.79,32,66,1.35,BR,1709329498
228,kailua-kona,19.6406,-155.9956,299.97,76,40,4.63,US,1709328908
229,kushalgarh,23.199,74.4507,295.77,44,0,2.83,IN,1709329499
230,pisco,-13.7,-76.2167,299.18,69,0,5.14,PE,1709329053
231,saint-pierre,-21.3393,55.4781,295.97,64,0,3.09,RE,1709329107
232,kerikeri,-35.2268,173.9474,294.21,77,51,0.45,NZ,1709329024
233,maceio,-9.6658,-35.7353,301.84,83,20,5.14,BR,1709329501
234,jindabyne,-36.4167,148.6333,287.91,91,100,0.45,AU,1709329501
235,port lincoln,-34.7333,135.8667,290.99,71,97,5.4,AU,1709329332
236,terrace,54.5163,-128.6035,274.38,54,100,6.17,CA,1709329431
237,enewetak,11.3474,162.3373,299.81,73,96,10.57,MH,1709328962
238,huinan,42.6225,126.2614,261.14,89,83,3.54,CN,1709329503
239,letlhakeng,-24.0944,25.0298,293.02,45,50,2.52,BW,1709329504
240,anserma,5.3328,-75.7911,290.18,83,98,1.18,CO,1709329504
241,dapa,9.7594,126.0531,298.51,80,78,3.85,PH,1709329505
242,papao,-17.75,-149.55,303.97,77,53,7.53,PF,1709328951
243,east london,-33.0153,27.9116,295.68,85,38,4.44,ZA,1709329430
244,bardai,11.65,7.2333,299.76,14,48,3.85,NG,1709329506
245,ashland,40.8167,-82.2665,281.41,69,100,3.93,US,1709329429
246,masterton,-40.9597,175.6575,292.09,55,96,2.51,NZ,1709329508
247,puerto lempira,15.2667,-83.7667,303.23,70,20,4.12,HN,1709329508
248,rongelap,11.1635,166.8941,299.88,68,99,8.48,MH,1709329509
249,dongsheng,39.8161,109.9776,264.51,57,0,6.53,CN,1709329510
250,ghat,24.9647,10.1728,287.56,23,0,0.91,LY,1709329510
251,lihue,21.9789,-159.3672,297.73,74,75,6.69,US,1709329510
